ann_vol,ann_ret
0.14701044671971888,0.43086754575146224
0.1500864841928863,0.4577558205870754
0.15191931117250373,0.4844040357326502
0.15304834341616189,0.5289658661926204
0.15416647989605906,0.5333894787436264
0.1592333479625948,0.5388213443531149
0.1595330798213504,0.5512870835812622
0.16352711299807587,0.5732345836630641
0.1712248421285369,0.5843454421870519
0.17230570119809094,0.602319636834906
0.1737296500833242,0.6107240653976342
0.18968598609228687,0.6223253913487993
0.19291404982165278,0.6246957465423006
0.21354780360248884,0.6271788486552807
0.21794509904906414,0.6280694188305924
0.2387224686659342,0.6430051853586548
